Products,Year,Value RM Million
Accommodation services,2000,5686
Accommodation services,2001,8453.3
Accommodation services,2002,9435.9
Accommodation services,2003,8388.7
Accommodation services,2004,9251.2
Accommodation services,2005,10704.6
Accommodation services,2006,12840.2
Accommodation services,2007,14235.6
Accommodation services,2008,15463.1
Accommodation services,2009,16573.8
Accommodation services,2010,17343.2
Accommodation services,2011,17961.3
Accommodation services,2012,18651.5
Accommodation services,2013,19829.3
Accommodation services,2014,21815.6
Accommodation services,2015,17656.4
Accommodation services,2016,20142.5
Accommodation services,2017,21034.2
Accommodation services,2018,21622.8
Accommodation services,2019,22007.3
Accommodation services,2020,3144
Accommodation services,2021,73.2
Food and beverage serving services,2000,3380.4
Food and beverage serving services,2001,4020.8
Food and beverage serving services,2002,4769.5
Food and beverage serving services,2003,3491.7
Food and beverage serving services,2004,5159.3
Food and beverage serving services,2005,6358.9
Food and beverage serving services,2006,6782.8
Food and beverage serving services,2007,8338.7
Food and beverage serving services,2008,8772.3
Food and beverage serving services,2009,9290.5
Food and beverage serving services,2010,9716.7
Food and beverage serving services,2011,9797.1
Food and beverage serving services,2012,9689.1
Food and beverage serving services,2013,8180.4
Food and beverage serving services,2014,10439.8
Food and beverage serving services,2015,9727.4
Food and beverage serving services,2016,10190.2
Food and beverage serving services,2017,10928
Food and beverage serving services,2018,11274.1
Food and beverage serving services,2019,11517.1
Food and beverage serving services,2020,1907.2
Food and beverage serving services,2021,51.7
Passenger transport services,2000,1958.9
Passenger transport services,2001,3415.2
Passenger transport services,2002,3532
Passenger transport services,2003,2661.4
Passenger transport services,2004,4477.3
Passenger transport services,2005,4952.9
Passenger transport services,2006,4787.8
Passenger transport services,2007,6864.4
Passenger transport services,2008,7582.9
Passenger transport services,2009,7527.8
Passenger transport services,2010,12413
Passenger transport services,2011,11946
Passenger transport services,2012,12273.8
Passenger transport services,2013,17023.6
Passenger transport services,2014,17428.5
Passenger transport services,2015,12952.3
Passenger transport services,2016,14011.7
Passenger transport services,2017,14297.4
Passenger transport services,2018,14639.4
Passenger transport services,2019,15456.2
Passenger transport services,2020,2297.3
Passenger transport services,2021,168.4
Travel agencies and other reservation services,2000,728.1
Travel agencies and other reservation services,2001,896.2
Travel agencies and other reservation services,2002,799.2
Travel agencies and other reservation services,2003,1000.7
Travel agencies and other reservation services,2004,1275
Travel agencies and other reservation services,2005,1022.5
Travel agencies and other reservation services,2006,725.4
Travel agencies and other reservation services,2007,2027.1
Travel agencies and other reservation services,2008,2032
