YEAR,Country,Average Stay
2015,SINGAPORE,3.3
2016,SINGAPORE,3.98
2017,SINGAPORE,5.157740078
2015,THAILAND,6.01
2016,THAILAND,6.1
2017,THAILAND,6.5
2015,INDONESIA,5.57
2016,INDONESIA,5.3
2017,INDONESIA,5.7
2015,BRUNEI,2.7
2016,BRUNEI,3.7
2017,BRUNEI,4.646086444
2015,PHILIPPINES,5.6
2016,PHILIPPINES,6.18
2017,PHILIPPINES,5.587772992
2015,VIETNAM,5.13
2016,VIETNAM,5.75
2017,VIETNAM,6
2015,OTHERS  ASEAN,10.45
2016,OTHERS  ASEAN,10.77
2017,OTHERS  ASEAN,9.1
2015,CHINA,5.8
2016,CHINA,5
2017,CHINA,6
2015,JAPAN,6.1
2016,JAPAN,6.17
2017,JAPAN,6.3
2015,SOUTH KOREA,6.4
2016,SOUTH KOREA,6.76
2017,SOUTH KOREA,6.4
2015,TAIWAN,5.4
2016,TAIWAN,5.2
2017,TAIWAN,5.6
2015,OTHERS EAST ASIA,6.4
2016,OTHERS EAST ASIA,5.8
2017,OTHERS EAST ASIA,6.4
2015,INDIA,6.9
2016,INDIA,7
2017,INDIA,7.331427366
2015,PAKISTAN,8.61
2016,PAKISTAN,8.3
2017,PAKISTAN,8.1
2015,OTHERS SOUTH ASIA,6.9
2016,OTHERS SOUTH ASIA,6.5
2017,OTHERS SOUTH ASIA,6.9
2015,SAUDI ARABIA,10.74
2016,SAUDI ARABIA,10.8
2017,SAUDI ARABIA,10.8
2015,UNITED ARAB EMIRATES,6.87
2016,UNITED ARAB EMIRATES,7.35
2017,UNITED ARAB EMIRATES,9.2
2015,OMAN,9.66
2016,OMAN,9.1
2017,OMAN,9
2015,KUWAIT,5.96
2016,KUWAIT,7.2
2017,KUWAIT,7.9
2015,IRAN,8.6
2016,IRAN,8.5
2017,IRAN,8.5
2015,OTHERS WEST ASIA,7.8
2016,OTHERS WEST ASIA,8
2017,OTHERS WEST ASIA,8.6
2015,CANADA,7.6
2016,CANADA,6.9
2017,CANADA,8.5
2015,U.S.A,6.65
2016,U.S.A,6.3
2017,U.S.A,8.9
2015,OTHERS AMERICAS,8.7
2016,OTHERS AMERICAS,7.9
2017,OTHERS AMERICAS,5.951921185
2015,UNITED KINGDOM,7.32
2016,UNITED KINGDOM,6.63
2017,UNITED KINGDOM,9.2
2015,IRELAND,8.7
2016,IRELAND,8.8
2017,IRELAND,8.853272834
2015,SWEDEN,6.8
2016,SWEDEN,7.59
2017,SWEDEN,7
2015,DENMARK,7.6
2016,DENMARK,8.7
2017,DENMARK,8.5
2015,FINLAND,7.1
2016,FINLAND,8.1
2017,FINLAND,7.3
2015,NORWAY,6.5
2016,NORWAY,7.4
2017,NORWAY,7.888888889
2015,ITALY,6.88
2016,ITALY,6.86
2017,ITALY,6.055214379
2015,SPAIN,7.19
2016,SPAIN,8
2017,SPAIN,8.484824476
2015,FRANCE,7.92
2016,FRANCE,9.1
2017,FRANCE,8.5
2015,BELGIUM,7.84
2016,BELGIUM,8.5
2017,BELGIUM,8.19099451
2015,NETHERLANDS,8.42
2016,NETHERLANDS,9.4
2017,NETHERLANDS,9.8
2015,GERMANY,7.6
2016,GERMANY,8.1
2017,GERMANY,8.3
2015,SWITZERLAND,8.65
2016,SWITZERLAND,8.9
2017,SWITZERLAND,8.8
2015,RUSSIA,6.8
2016,RUSSIA,7.3
2017,RUSSIA,7
2015,OTHERS EUROPE,7.25
2016,OTHERS EUROPE,8
2017,OTHERS EUROPE,5.000837655
2015,AUSTRALIA,5.8
2016,AUSTRALIA,7.6
2017,AUSTRALIA,6.2
2015,NEW ZEALAND,7.03
2016,NEW ZEALAND,7.5
2017,NEW ZEALAND,7.047220618
2015,SOUTH AFRICA,8.26
2016,SOUTH AFRICA,8.8
2017,SOUTH AFRICA,5
2015,CENTRAL ASIA,8.7
2016,CENTRAL ASIA,8.5
2017,CENTRAL ASIA,6.1
2015,OTHERS,7.5
2016,OTHERS,7
2017,OTHERS,7.8
