YEAR,TRAVEL ARRANGEMENT,Country,Percentage
2016,TOUR PACKAGE,SINGAPORE,1.828231292517007
2016,INDEPENDENT,SINGAPORE,98.171768707483
2017,TOUR PACKAGE,SINGAPORE,2.904957681040108
2017,INDEPENDENT,SINGAPORE,97.09504231895988
2016,TOUR PACKAGE,THAILAND ,4.761904761904763
2016,INDEPENDENT,THAILAND ,95.23809523809524
2017,TOUR PACKAGE,THAILAND ,6.74271253507993
2017,INDEPENDENT,THAILAND ,93.25728746492007
2016,TOUR PACKAGE,INDONESIA,5.083996463306809
2016,INDEPENDENT,INDONESIA,94.9160035366932
2017,TOUR PACKAGE,INDONESIA,5.1741099952153435
2017,INDEPENDENT,INDONESIA,94.82589000478465
2016,TOUR PACKAGE,BRUNEI,0.8266260604742223
2016,INDEPENDENT,BRUNEI,99.17337393952577
2017,TOUR PACKAGE,BRUNEI,0.016329456565970513
2017,INDEPENDENT,BRUNEI,99.98367054343403
2016,TOUR PACKAGE,PHILIPPINES,1.1450381679389314
2016,INDEPENDENT,PHILIPPINES,98.85496183206108
2017,TOUR PACKAGE,PHILIPPINES,0.9197796334160877
2017,INDEPENDENT,PHILIPPINES,99.08022036658392
2016,TOUR PACKAGE,VIETNAM,78.27926657263751
2016,INDEPENDENT,VIETNAM,21.72073342736248
2017,TOUR PACKAGE,VIETNAM,85.14866951993486
2017,INDEPENDENT,VIETNAM,14.851330480065156
2016,TOUR PACKAGE,CHINA,46.35285662953647
2016,INDEPENDENT,CHINA,53.647143370463525
2017,TOUR PACKAGE,CHINA,75.78793033036042
2017,INDEPENDENT,CHINA,24.21206966963958
2016,TOUR PACKAGE,JAPAN,9.401709401709402
2016,INDEPENDENT,JAPAN,90.5982905982906
2017,TOUR PACKAGE,JAPAN,17.103639279322703
2017,INDEPENDENT,JAPAN,82.89636072067731
2016,TOUR PACKAGE,SOUTH KOREA,5.031446540880504
2016,INDEPENDENT,SOUTH KOREA,94.9685534591195
2017,TOUR PACKAGE,SOUTH KOREA,67.09677680962254
2017,INDEPENDENT,SOUTH KOREA,32.90322319037745
2016,TOUR PACKAGE,TAIWAN,51.24999999999999
